"id","date","symbol","open","high","low","close","volume","amount","adj_close"
525,2004-01-20,NEPSE,207.8,207.8,207.8,207.8,0.00000,0.00000,
524,2004-01-19,NEPSE,206.02,206.02,206.02,206.02,0.00000,0.00000,
523,2004-01-16,NEPSE,204.41,204.41,204.41,204.41,0.00000,0.00000,
522,2004-01-15,NEPSE,202.65,202.65,202.65,202.65,0.00000,0.00000,
521,2004-01-14,NEPSE,201.95,201.95,201.95,201.95,0.00000,0.00000,
520,2004-01-13,NEPSE,202.19,202.19,202.19,202.19,0.00000,0.00000,
519,2004-01-12,NEPSE,201.34,201.34,201.34,201.34,0.00000,0.00000,
518,2004-01-09,NEPSE,200.84,200.84,200.84,200.84,0.00000,0.00000,
517,2004-01-08,NEPSE,201.46,201.46,201.46,201.46,0.00000,0.00000,
516,2004-01-07,NEPSE,201.51,201.51,201.51,201.51,0.00000,0.00000,
515,2004-01-06,NEPSE,201.82,201.82,201.82,201.82,0.00000,0.00000,
514,2004-01-05,NEPSE,201.51,201.51,201.51,201.51,0.00000,0.00000,
513,2004-01-02,NEPSE,201.52,201.52,201.52,201.52,0.00000,0.00000,
512,2004-01-01,NEPSE,201.88,201.88,201.88,201.88,0.00000,0.00000,
511,2003-12-31,NEPSE,201.57,201.57,201.57,201.57,0.00000,0.00000,
510,2003-12-30,NEPSE,201.23,201.23,201.23,201.23,0.00000,0.00000,
509,2003-12-29,NEPSE,202.23,202.23,202.23,202.23,0.00000,0.00000,
508,2003-12-26,NEPSE,201.65,201.65,201.65,201.65,0.00000,0.00000,
507,2003-12-25,NEPSE,201.52,201.52,201.52,201.52,0.00000,0.00000,
506,2003-12-24,NEPSE,201.22,201.22,201.22,201.22,0.00000,0.00000,
505,2003-12-23,NEPSE,201.29,201.29,201.29,201.29,0.00000,0.00000,
504,2003-12-22,NEPSE,201.51,201.51,201.51,201.51,0.00000,0.00000,
503,2003-12-19,NEPSE,201.54,201.54,201.54,201.54,0.00000,0.00000,
502,2003-12-18,NEPSE,201.56,201.56,201.56,201.56,0.00000,0.00000,
501,2003-12-17,NEPSE,201.5,201.5,201.5,201.5,0.00000,0.00000,
500,2003-12-16,NEPSE,201.88,201.88,201.88,201.88,0.00000,0.00000,
499,2003-12-15,NEPSE,201.94,201.94,201.94,201.94,0.00000,0.00000,
498,2003-12-12,NEPSE,202.47,202.47,202.47,202.47,0.00000,0.00000,
497,2003-12-11,NEPSE,206.42,206.42,206.42,206.42,0.00000,0.00000,
496,2003-12-10,NEPSE,206.35,206.35,206.35,206.35,0.00000,0.00000,
